Date,Open,Close,High,Low
2014-06-17,1.3546,1.3573,1.3588,1.3535
2014-06-16,1.3575,1.3534,1.358,1.3512
2014-06-13,1.3542,1.3551,1.3579,1.3519
2014-06-12,1.3553,1.3531,1.3574,1.351
2014-06-11,1.3533,1.3547,1.3558,1.352
2014-06-10,1.3549,1.3593,1.3603,1.3532
2014-06-09,1.3594,1.3643,1.367,1.3581
2014-06-06,1.3642,1.366,1.3679,1.3619
2014-06-05,1.366,1.3597,1.3671,1.3502
2014-06-04,1.3599,1.3627,1.3639,1.3594
2014-06-03,1.3627,1.3596,1.3647,1.3585
2014-06-02,1.3597,1.3633,1.3645,1.3586
2014-05-30,1.3631,1.36,1.365,1.3597
2014-05-29,1.3602,1.3588,1.3626,1.3584
2014-05-28,1.3591,1.3633,1.3639,1.3586
2014-05-27,1.3635,1.3644,1.3671,1.3611
2014-05-26,1.3646,1.3625,1.3655,1.3614
2014-05-23,1.3634,1.3655,1.366,1.3614
2014-05-22,1.3656,1.3685,1.3689,1.3643
2014-05-21,1.3687,1.3702,1.3724,1.3634
2014-05-20,1.3703,1.3707,1.3714,1.3677
2014-05-19,1.3709,1.3701,1.3736,1.3686
2014-05-16,1.3695,1.3709,1.3729,1.3684
2014-05-15,1.3711,1.3714,1.3733,1.3647
2014-05-14,1.3715,1.3703,1.3732,1.3696
2014-05-13,1.3704,1.3755,1.3774,1.3688
2014-05-12,1.3757,1.3749,1.3775,1.3747
2014-05-09,1.376,1.3838,1.3846,1.3743
2014-05-08,1.3841,1.391,1.3993,1.3831
2014-05-07,1.3912,1.3926,1.394,1.3908
2014-05-06,1.3928,1.3874,1.3952,1.3868
2014-05-05,1.3876,1.387,1.3892,1.3863
2014-05-02,1.387,1.3868,1.3881,1.381
2014-05-01,1.3869,1.3865,1.3889,1.386
2014-04-30,1.3867,1.3811,1.3878,1.3775
2014-04-29,1.3812,1.3848,1.3879,1.3804
2014-04-28,1.385,1.3833,1.388,1.3813
2014-04-25,1.3833,1.383,1.385,1.3824
2014-04-24,1.3833,1.3816,1.3843,1.379
2014-04-23,1.3817,1.3804,1.3855,1.3799
2014-04-22,1.3805,1.3792,1.3826,1.3783
2014-04-21,1.3793,1.3808,1.3832,1.3785
2014-04-18,1.3815,1.3812,1.3825,1.3806
2014-04-17,1.3815,1.3815,1.3866,1.3809
2014-04-16,1.3816,1.3812,1.3852,1.3802
2014-04-15,1.3814,1.3819,1.3835,1.3788
